Cell Type	Z-score	Cluster
Classical dendritic cell a(cDCa)	-0.20270725776875004	11
γ δ T cell	-0.20277876271594295	11
CD8+ recently activated effector memory or effector T cell (CTL)	-0.20277876271594295	11
Demyelinating microglial cell	-0.20278736769206504	11
Activated macrophage	-0.20278736769206504	11
Demyelinating macrophage	-0.20278736769206504	11
Infiltrated mononuclear cell	-0.20278736769206504	11
M0 macrophage	-0.20278736769206504	11
Migratory langerhans cell	-0.20285794136478585	11
CCR7+ dendritic cell	-0.20285794136478585	11
Activated langerhans cell	-0.20285794136478585	11
Vascular smooth muscle cell(VSMC)	-0.20289466168654277	11
Conventional dendritic cell(cDC)	-0.20293434024399093	11
Interneuron	-0.2030647142676943	11
Goblet cell	-0.20307016239267858	11
Effector CD4+ T cell	-0.20315052409874632	11
Lymphocyte	-0.20317227934770474	11
FGFR1HighNME5- epithelial cell	-0.20323230794559421	11
vasa recta Endothelial cell (ECvr)	-0.20340855214740403	11
MKI67+ progenitor cell	-0.20340855214740403	11
Vascular cell	-0.20340855214740403	11
Lake et al.Science.Ex8	-0.20340855214740403	11
Mature endothelial cell	-0.20340855214740403	11
glomerular Endothelial cell (ECg)	-0.20340855214740403	11
Lymphatic cell	-0.20340855214740403	11
Lymphatic endothelial cell	-0.20340855214740403	11
Late endothelial cell	-0.20340855214740403	11
Foetal endothelial cell	-0.20340855214740403	11
OxPhos monocyte	-0.20377163286686914	11
Megakaryocyte progenitor cell	-0.204050946971474	11
Innate Lymphoid cell	-0.2043613065498481	11
Conventional dendritic cell	-0.2043613065498481	11
Innate lymphoid cell (ILCs)	-0.2043613065498481	11
Pro-Natural killer cell (pro-NK cell)	-0.2043613065498481	11
Basal epithelial cell	-0.20436543091050102	11
Proximal stem cell	-0.20447285308221066	11
