Cell Type	Z-score	Cluster
Adipocyte	-0.20220503788889044	2
Adipocyte progenitor cell	-0.20220503788889044	2
Vascular smooth muscle cell(VSMC)	-0.20221205186200403	2
LGR5+ stem cell	-0.20238945977584255	2
M2c macrophage	-0.20239024414298862	2
Border-associated macrophage	-0.20239024414298862	2
Hepatic cell	-0.2023964929803748	2
1-cell stage cell (Blastomere)	-0.20274873756737932	2
Macroglial cell	-0.20274873756737932	2
Neutrophil lineage	-0.2031143315062675	2
Polymorphonuclear neutrophil(PMN)	-0.2031143315062675	2
Airway basal cell	-0.20321659347596271	2
Sensory neuron	-0.20321659347596271	2
