Cell Type	Z-score	Cluster
Hematopoietic stem cell	-0.15242980087518637	14
Ciliated cell	-0.15251101913400653	14
B-2 cell	-0.1531174927284763	14
Hematopoietic cell	-0.15354263851483027	14
AXL+ SIGLEC6+ dendritic cell	-0.15470940121175353	14
Pre-dendritic cell	-0.1550610208112286	14
Activated CD4+ T cell	-0.155221214714115	14
Innate lymphoid cell	-0.15553059260252713	14
CD1C+_A dendritic cell	-0.15577893673154786	14
Beta cell(β cell)	-0.15628682646362707	14
Migratory langerhans cell	-0.1562986096964202	14
Migration phase fetal germ cell	-0.1577918155811665	14
Embryonic stem cell	-0.1577918155811665	14
Megakaryocyte	-0.15792751632880686	14
Circulating T follicular helper cell	-0.1580359116307455	14
Memory CD4+ T cell	-0.1580359116307455	14
Intermediate transition memory B cell	-0.1580604299187431	14
Mural cell	-0.15824772852753366	14
Regulatory T (Treg) cell	-0.15870125772908059	14
Normal cell	-0.15873858727607426	14
Exhausted CD4+ T cell	-0.15900522192614402	14
Lymphoblastoid cell	-0.15905563693689745	14
Enterocyte	-0.15975414376761626	14
Hypertrophic chondrocyte	-0.16001703685985252	14
Dendritic cell progenitor	-0.1600633104442509	14
MKI67+ progenitor cell	-0.1600654070957169	14
Ventral lateral ganglionic eminence precursor cell	-0.1600654070957169	14
D1-MSN(medium spiny neuron)	-0.1600654070957169	14
Liver progenitor cell	-0.16013067910699968	14
Nucleus pulposus cell	-0.16013067910699968	14
Luminal progenitor cell	-0.16013067910699968	14
Epithelial progenitor cell	-0.16013067910699968	14
Glomerular parietal epithelial cell	-0.16013067910699968	14
Granulocyte	-0.16013067910699968	14
PDX1+ pancreatic progenitor cell	-0.16013067910699968	14
Pancreatic progenitor cell	-0.16013067910699968	14
Myeloid-derived suppressor cell	-0.16013067910699968	14
Neural stem cell	-0.16013067910699968	14
Urine-derived stem cell	-0.16013067910699968	14
Central nervous system stem cell	-0.16013067910699968	14
Intestinal stem cell	-0.16013067910699968	14
Side-population cell	-0.16013067910699968	14
Primed human pluripotent stem cell	-0.16013067910699968	14
Intestinal epithelial stem cell	-0.16013067910699968	14
Hepatic progenitor cell	-0.16013067910699968	14
Basal progenitor cell	-0.16013067910699968	14
Medial and distal segment cell	-0.16013067910699968	14
Classical B cell	-0.16013067910699968	14
Effector memory CD4+ T cell	-0.1603515025508567	14
FGFR1HighNME5- epithelial cell	-0.1608159316334227	14
Retina cell	-0.1608159316334227	14
Mucosa-associated invariant T (MAIT) cell	-0.16136592420200174	14
Goblet cell	-0.1614479823136029	14
Unswitched plasmablast	-0.16149622801346117	14
Regulatory B cell	-0.16149622801346117	14
Class switched memory B IgGκ cell	-0.16149622801346117	14
Class switched plasmablast	-0.16149622801346117	14
IgM only B cell	-0.16149622801346117	14
Monocyte lineage	-0.16149622801346117	14
Memory CD27- B cell	-0.16149622801346117	14
Marginal zone(MZ)-like B cell	-0.16149622801346117	14
T1 (Transitional) B cell	-0.16149622801346117	14
Resting memory B cell	-0.16149622801346117	14
Negative mesenchymal stem cell	-0.16149622801346117	14
Memory CD27+ B cell	-0.16149622801346117	14
